model,condition,n,accuracy,macro_f1,majority_acc,random_acc,n_classes_predicted,comment_f1
qwen0.5B-zeroshot,reply_only,1447,0.0961,0.0800,0.8162,0.6704,2,0.0000
qwen0.5B-zeroshot,useful,1446,0.0899,0.0741,0.8160,0.6701,2,0.0000
qwen0.5B-zeroshot,irrelevant,1447,0.0795,0.0695,0.8162,0.6704,2,0.0000
qwen0.5B-zeroshot,conflicting,1243,0.0885,0.0780,0.8286,0.7136,2,0.0000
qwen0.5B-zeroshot,mixed,1243,0.0869,0.0752,0.8286,0.7136,2,0.0000
qwen0.5B-zeroshot,lexical,1446,0.0934,0.0817,0.8160,0.6701,2,0.0000
qwen1.5B-adv-FT,reply_only,1440,0.8229,0.3310,0.8153,0.6681,3,0.9011
qwen1.5B-adv-FT,useful,1447,0.8480,0.3947,0.8162,0.6704,3,0.9146
qwen1.5B-adv-FT,irrelevant,1447,0.8459,0.3844,0.8162,0.6704,3,0.9137
qwen1.5B-adv-FT,conflicting,1244,0.8537,0.3671,0.8288,0.6865,3,0.9187
qwen1.5B-adv-FT,mixed,1244,0.8497,0.3648,0.8288,0.6865,3,0.9172
qwen1.5B-adv-FT,lexical,1447,0.8411,0.3673,0.8162,0.6704,3,0.9118
qwen3B-zeroshot,reply_only,1447,0.6275,0.3448,0.8162,0.6704,4,0.7745
qwen3B-zeroshot,useful,1447,0.6351,0.3772,0.8162,0.6704,4,0.7685
qwen3B-zeroshot,irrelevant,1447,0.6973,0.3952,0.8162,0.6704,4,0.8192
qwen3B-zeroshot,conflicting,1244,0.7002,0.3623,0.8288,0.6865,4,0.8240
qwen3B-zeroshot,mixed,1244,0.6439,0.3360,0.8288,0.6865,4,0.7823
qwen3B-zeroshot,lexical,1447,0.5985,0.3387,0.8162,0.6704,3,0.7447
qwen3B-adv-FT,reply_only,1447,0.8252,0.2915,0.8162,0.6704,3,0.9032
qwen3B-adv-FT,useful,1447,0.8500,0.4012,0.8162,0.6704,3,0.9158
qwen3B-adv-FT,irrelevant,1447,0.8452,0.3732,0.8162,0.6704,3,0.9134
qwen3B-adv-FT,conflicting,1244,0.8577,0.3799,0.8288,0.6865,3,0.9214
qwen3B-adv-FT,mixed,1244,0.8521,0.3590,0.8288,0.6865,3,0.9176
qwen3B-adv-FT,lexical,1447,0.8514,0.4036,0.8162,0.6704,3,0.9162
